requested_dev_sms,requested_zc_sms,pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
14,2,scatter,8,32,14,2,24.460220,10.681852,21.257595,5.619792,26.877386,35.142072,76.482077,86.906801,52.610650
14,2,scatter,16,1,14,2,10.258634,4.445605,8.899813,3.301146,12.200959,14.704239,82.975795,86.754370,74.256392
14,2,scatter,16,2,14,2,11.848585,4.916844,10.572774,2.773834,13.346608,16.765429,79.607914,89.232376,56.414937
14,2,scatter,16,4,14,2,13.062055,6.701429,11.538853,3.116384,14.655237,19.763484,74.153107,88.338729,46.503277
14,2,scatter,16,8,14,2,15.606712,8.589270,13.781050,4.049424,17.830474,24.195982,73.691879,88.302075,47.145140
14,2,scatter,16,16,14,2,22.378811,9.801425,19.596575,4.956862,24.553437,32.180235,76.299743,87.567545,50.572872
14,2,scatter,16,32,14,2,24.185990,10.590473,21.046446,5.537265,26.583711,34.776463,76.441674,87.019163,52.285338
14,2,scatter,32,1,14,2,10.260842,4.443759,8.900720,3.286413,12.187133,14.704601,82.879722,86.744534,73.955696
14,2,scatter,32,2,14,2,11.830003,4.906939,10.494838,2.753816,13.248654,16.736942,79.158153,88.713739,56.120856
14,2,scatter,32,4,14,2,13.034127,6.751688,11.402368,3.090806,14.493174,19.785816,73.250322,87.480869,45.778267
14,2,scatter,32,8,14,2,15.734138,8.655447,13.727961,4.052432,17.780393,24.389585,72.901582,87.249527,46.819446
14,2,scatter,32,16,14,2,23.088633,9.887423,20.238823,5.044553,25.283376,32.976056,76.671925,87.657089,51.019899
14,2,scatter,32,32,14,2,25.133409,10.687101,21.753039,5.651086,27.404125,35.820510,76.504006,86.550295,52.877631
14,2,scatter,64,1,14,2,10.105832,4.390011,6.986245,2.773666,9.759911,14.495842,67.329037,69.130829,63.181300
14,2,scatter,64,2,14,2,11.707006,4.840015,8.161950,2.236459,10.398409,16.547021,62.841579,69.718514,46.207681
14,2,scatter,64,4,14,2,12.812570,6.722621,9.039750,2.542687,11.582437,19.535192,59.290112,70.553762,37.822843
14,2,scatter,64,8,14,2,15.538934,8.700192,11.288127,3.364531,14.652658,24.239126,60.450440,72.644155,38.671920
14,2,scatter,64,16,14,2,23.091508,9.960565,15.826330,4.140284,19.966614,33.052073,60.409566,68.537445,41.566760
14,2,scatter,64,32,14,2,24.834201,10.789082,16.995373,4.615727,21.611100,35.623282,60.665663,68.435355,42.781464
