pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
uniform,64,4,2,2,2,8,8,72.406717,64.587123,64.495509,56.413724,112.602071,112.722741,112.818250,136.993840,82.194989,82.283073,82.352790,89.073931,87.345157,9.525512,0.999099
uniform,64,8,1,1,1,8,8,108.372251,98.336653,102.520144,92.707679,184.972683,185.140062,185.285233,206.708904,89.484623,89.565596,89.635826,94.599995,94.275813,5.799619,0.998599
uniform,64,16,1,1,1,8,8,140.995669,124.439286,136.944569,121.936747,243.401491,243.654236,243.881830,265.434955,91.699110,91.794329,91.880073,97.126791,97.988948,8.813652,0.999073
uniform,64,32,1,1,1,8,8,157.739157,144.628678,156.998533,142.691913,285.058651,285.226452,285.399912,302.367835,94.275455,94.330950,94.388318,99.530475,98.660871,15.058096,0.999453
strided,1,1,128,379,128,8,8,38.604520,13.032143,24.343389,11.016073,32.503492,32.552149,32.586565,51.636663,62.946539,63.040769,63.107417,63.058391,84.530023,16.331580,0.999593
strided,1,2,128,350,128,8,8,58.240068,21.293802,40.989938,18.472146,55.876192,55.958534,56.046035,79.533870,70.254586,70.358117,70.468135,70.380992,86.748932,17.913955,0.999617
strided,1,4,128,276,128,8,8,88.256078,40.980611,70.701570,35.311981,103.115491,103.450500,103.845085,129.236689,79.788094,80.047316,80.352635,80.109577,86.167532,16.379803,0.999596
strided,1,8,64,115,64,8,8,108.342853,60.339711,98.552313,55.108088,152.929319,153.292008,153.575472,168.682564,90.661011,90.876025,91.044070,90.963372,91.329719,9.795428,0.999309
strided,1,16,32,58,32,8,8,132.457628,72.817463,125.568115,69.376363,194.424647,194.651650,194.910527,205.275092,94.714193,94.824778,94.950890,94.798704,95.274347,7.757188,0.999107
strided,1,32,16,29,16,8,8,143.193071,78.693493,140.158113,76.582765,214.619494,215.124383,215.670060,221.886563,96.724872,96.952416,97.198342,97.880514,97.317787,7.018960,0.998753
strided,2,1,128,312,128,8,8,31.249238,12.832779,16.456511,9.214059,23.174138,23.204086,23.233906,44.082017,52.570503,52.638441,52.706087,52.662121,71.800961,39.766568,0.999838
strided,2,2,128,296,128,8,8,48.044308,20.787164,31.257300,16.269304,44.683173,44.766604,44.827339,68.831472,64.916777,65.037987,65.126224,65.059319,78.266109,39.725705,0.999840
strided,2,4,64,123,64,8,8,75.812779,39.518297,59.445823,33.660665,90.209278,90.340945,90.456131,115.331076,78.217667,78.331833,78.431707,78.411349,85.177419,17.363884,0.999618
strided,2,8,32,56,32,8,8,104.626113,60.092037,95.227392,55.008350,149.296286,149.541625,149.752767,164.718149,90.637423,90.786368,90.914552,91.016850,91.540166,9.872803,0.999316
strided,2,16,16,28,16,8,8,126.323049,72.140830,123.341153,69.213510,189.715617,190.121333,190.513865,198.463879,95.592013,95.796441,95.994226,97.639467,95.942215,7.765541,0.998875
strided,2,32,8,15,8,8,8,142.849247,77.765180,141.273726,76.590106,216.088429,216.412248,216.670834,220.614427,97.948458,98.095238,98.212450,98.897074,98.488946,7.132239,0.999060
strided,4,1,128,147,128,8,8,14.897653,12.940150,7.164724,6.652351,13.384844,13.402512,13.435638,27.837803,48.081538,48.145004,48.264001,48.092972,51.408609,86.061004,0.999931
strided,4,2,64,91,64,8,8,29.612374,20.935092,14.946302,10.898677,25.427291,25.454959,25.482641,50.547467,50.303788,50.358526,50.413290,50.473162,52.059367,51.079800,0.999875
strided,4,4,32,44,32,8,8,54.592009,39.933773,33.060756,22.456183,53.255511,53.313939,53.366206,94.525782,56.339667,56.401479,56.456773,60.559700,56.233561,23.916230,0.999651
strided,4,8,16,23,16,8,8,87.342213,60.462357,68.504986,41.058235,99.906214,100.014456,100.104543,147.804570,67.593454,67.666687,67.727637,78.432849,67.907103,13.084337,0.999338
strided,4,16,8,13,8,8,8,118.892908,73.366112,112.272787,64.146085,167.881623,168.207336,168.631781,192.259020,87.320544,87.489958,87.710725,94.431862,87.432853,8.378268,0.998962
strided,4,32,4,7,4,8,8,137.242555,78.226764,134.949384,74.456204,204.015347,204.505481,205.019838,215.469320,94.684175,94.911647,95.150362,98.329111,95.179961,7.219342,0.998785
strided,8,1,64,64,64,8,8,13.075064,13.079182,6.538475,6.538818,13.066859,13.075867,13.088985,26.154245,49.960757,49.995197,50.045356,50.007210,49.994095,82.116303,0.999925
strided,8,2,32,39,32,8,8,25.365757,21.010337,13.251094,10.633304,23.534485,23.588933,23.661323,46.376094,50.747018,50.864424,51.020519,52.240088,50.609869,50.497508,0.999840
